"","dyad.merge","conttype"
"1163","040070_1998",4
"1164","040070_1999",4
"1165","040070_2000",4
"1166","040070_2001",4
"1167","040070_2002",4
"1168","040070_2003",4
"1169","040070_2004",4
"1170","040070_2005",4
"1171","040070_2006",4
"1172","040080_1981",5
"1173","040080_1982",5
"1174","040080_1983",5
"1175","040080_1984",5
"1176","040080_1985",5
"1177","040080_1986",5
"1178","040080_1987",5
"1179","040080_1988",5
"1180","040080_1989",5
"1181","040080_1990",5
"1182","040080_1991",5
"1183","040080_1992",5
"1184","040080_1993",5
"1185","040080_1994",5
"1186","040080_1995",5
"1187","040080_1996",5
"1188","040080_1997",5
"1189","040080_1998",5
"1190","040080_1999",5
"1191","040080_2000",5
"1192","040080_2001",5
"1193","040080_2002",5
"1194","040080_2003",5
"1195","040080_2004",5
"1196","040080_2005",5
"1197","040080_2006",5
"1198","040091_1902",5
"1199","040091_1903",5
"1200","040091_1904",5
"1201","040091_1905",5
"1202","040091_1906",5
"1203","040091_1909",5
"1204","040091_1910",5
"1205","040091_1911",5
"1206","040091_1912",5
"1207","040091_1913",5
"1208","040091_1914",5
"1209","040091_1915",5
"1210","040091_1916",5
"1211","040091_1917",5
"1212","040091_1918",5
"1213","040091_1919",5
"1214","040091_1920",5
"1215","040091_1921",5
"1216","040091_1922",5
"1217","040091_1923",5
"1218","040091_1924",5
"1219","040091_1925",5
"1220","040091_1926",5
"1221","040091_1927",5
"1222","040091_1928",5
"1223","040091_1929",5
"1224","040091_1930",5
"1225","040091_1931",5
"1226","040091_1932",5
"1227","040091_1933",5
"1228","040091_1934",5
"1229","040091_1935",5
"1230","040091_1936",5
"1231","040091_1937",5
"1232","040091_1938",5
"1233","040091_1939",5
"1234","040091_1940",5
"1235","040091_1941",5
"1236","040091_1942",5
"1237","040091_1943",5
"1238","040091_1944",5
"1239","040091_1945",5
"1240","040091_1946",5
"1241","040091_1947",5
